iter	RMSE
0	57514.39786
1	53571.62231
2	51873.83808
3	48828.1558
4	47516.84575
5	46808.06688
6	46362.67458
7	45863.22917
8	45633.89781
9	44914.47816
10	44725.50213
11	44493.57538
12	44000.95933
13	43366.84111
14	43093.10598
15	42636.68675
16	42366.1744
17	41954.87508
18	41828.83387
19	41731.66073
20	41417.32168
21	40955.30351
22	40759.78795
23	40453.33568
24	40093.73528
25	40026.87953
26	39619.00499
27	39345.28587
28	39231.59224
29	39158.19696
