iter	Passed	Remaining
0	1	39
1	2	33
2	3	29
3	4	28
4	5	26
5	6	24
6	7	23
7	9	26
8	14	33
9	15	31
10	16	28
11	18	27
12	19	25
13	20	23
14	21	21
15	22	19
16	23	18
17	24	16
18	26	15
19	27	13
20	28	12
21	30	10
22	30	9
23	34	8
24	35	7
25	38	5
26	39	4
27	40	2
28	42	1
29	44	0
