date,target,oil,gas,coal,corn,soybean,wheat,rice,usd_eur,usd_jpy,usd_cny,usd_index,usd_rub,cpi_china,cpi_us
13/11/1988,,13.26,,,,,,,0.8352,122.74,3.7314,91.49,,,120.3
20/11/1988,,12.04,,,,,,,0.8346,122.5,3.7314,91.51,,,120.3
27/11/1988,,14.48,,,,,,,0.8252,121.23,3.7314,90.23,,,120.3
04/12/1988,,14.50,,,,,,,0.8304,121.21,3.7314,90,,,120.7
11/12/1988,,14.47,,,,,,,0.8315,122.52,3.7314,90.82,,,120.7
18/12/1988,,14.81,,,,,,,0.8457,123.93,3.7314,92.09,,,120.7
25/12/1988,,15.08,,,,,,,0.8512,124.63,3.7314,92.73,,,120.7
01/01/1989,,15.52,,,,,,,0.8492,124.93,3.7314,92.29,,,121.2
08/01/1989,,16.25,,,,,,,0.8671,126.74,3.7314,94.54,,,121.2
15/01/1989,,16.12,,,,,,,0.8735,127.32,3.7314,95.39,,,121.2
22/01/1989,,17.00,,,,,,,0.8804,127.63,3.7314,95.06,,,121.2
29/01/1989,,16.30,,,,,,,0.8859,129.28,3.7314,96.28,,,121.2
05/02/1989,,16.17,,,,,,,0.8969,129.17,3.7314,96.88,,,121.6
12/02/1989,,15.82,,,,,,,0.888,128.71,3.7314,96.49,,,121.6
19/02/1989,,16.01,,,,,,,0.8767,125.75,3.7314,94.87,,,121.6
26/02/1989,,16.15,,,,,,,0.8725,126.03,3.7314,94.6,,,121.6
05/03/1989,,16.95,,,,,,,0.8803,127.67,3.7314,95.93,,,122.2
12/03/1989,,17.11,,,,,,,0.8887,129.4,3.7314,96.48,,,122.2
19/03/1989,,17.76,,,,,,,0.8951,131.68,3.7314,97.38,,,122.2
26/03/1989,,18.64,,,,,,,0.8901,131.36,3.7314,97.09,,,122.2
02/04/1989,,19.55,,,,,,,0.9041,132.71,3.7314,98.12,,,123.1
09/04/1989,,18.50,,,,,,,0.8926,132.75,3.7314,97.49,,,123.1
16/04/1989,,18.27,,,,,,,0.8917,131.97,3.7314,96.7,,,123.1
23/04/1989,,20.27,,,,,,,0.8815,131.45,3.7314,96.26,,,123.1
30/04/1989,,18.94,,,,,,,0.8954,133.01,3.7314,97.74,,,123.1
07/05/1989,,18.70,,,,,,,0.9029,134.23,3.7314,98.44,,,123.7
14/05/1989,,17.34,,,,,,,0.9073,136.11,3.7314,99.51,,,123.7
21/05/1989,,17.34,,,,,,,0.9385,138.98,3.7314,102.09,,,123.7
28/05/1989,,17.39,,,,,,,0.945,141.08,3.7314,102.67,,,123.7
04/06/1989,,17.50,,,,,,,0.9332,140.48,3.7314,101.11,,,124.1
11/06/1989,,17.56,,,,,,,0.9566,146.63,3.7314,104.49,,,124.1
18/06/1989,,16.20,,,,,,,0.9502,144.81,3.7314,103.25,,,124.1
25/06/1989,,16.90,,,,,,,0.9264,138.69,3.7318,101.03,,,124.1
02/07/1989,,17.49,,,,,,,0.9321,143.93,3.7314,102.22,,,124.5
09/07/1989,,17.50,,,,,,,0.8984,139.03,3.7314,98.17,,,124.5
16/07/1989,,17.25,,,,,,,0.9045,140.82,3.7314,100.14,,,124.5
23/07/1989,,17.52,,,,,,,0.9062,142.18,3.7314,99.84,,,124.5
30/07/1989,,16.65,,,,,,,0.8973,139.15,3.7314,98.33,,,124.5
06/08/1989,,16.40,,,,,,,0.9022,139.84,3.7314,99.78,,,124.5
13/08/1989,,16.91,,,,,,,0.9222,141.78,3.7314,101.32,,,124.5
20/08/1989,,16.85,,,,,,,0.9296,142.54,3.7314,101.74,,,124.5
27/08/1989,,16.85,,,,,,,0.9296,143.81,3.7314,102.04,,,124.5
03/09/1989,,17.20,,,,,,,0.9368,145.89,3.7314,102.9,,,124.8
10/09/1989,,17.72,,,,,,,0.9385,147.17,3.7314,103.72,,,124.8
17/09/1989,,17.58,,,,,,,0.9497,146.43,3.7314,101.5,,,124.8
24/09/1989,,17.60,,,,,,,0.9249,145.97,3.7314,102,,,124.8
01/10/1989,,18.16,,,,,,,0.8938,139.03,3.7314,98.56,,,125.4
08/10/1989,,18.22,,,,,,,0.9036,142.39,3.7314,99.73,,,125.4
15/10/1989,,18.90,,,,,,,0.906,141.48,3.7314,99.85,,,125.4
22/10/1989,,18.74,,,,,,,0.8876,142.48,3.7314,98.97,,,125.4
29/10/1989,,18.38,,,,,,,0.879,141.62,3.7314,97.91,,,125.4
05/11/1989,,18.85,,,,,,,0.8806,143.34,3.7314,98.64,,,125.9
12/11/1989,,19.11,,,,,,,0.8875,143.45,3.7314,99.29,,,125.9
19/11/1989,,18.55,,,,,,,0.8819,144.35,3.7314,98.61,,,125.9
26/11/1989,,18.44,,,,,,,0.8654,143.6,3.7314,97.14,,,125.9
03/12/1989,,18.66,,,,,,,0.8556,143.45,3.7314,96.66,,,126.3
10/12/1989,,19.12,,,,,,,0.8513,144.2,3.7314,96.07,,,126.3
17/12/1989,,19.13,,,,,,,0.8302,144.05,3.7314,94.1,,,126.3
24/12/1989,,19.76,,,,,,,0.8221,142.3,4.7339,93.97,,,126.3
31/12/1989,,20.28,,,,,,,0.8148,143.9,4.7339,93.93,,,126.3
07/01/1990,,22.00,,,,,,,0.8092,144.55,4.7339,93.62,,,127.5
14/01/1990,,20.05,,,,,,,0.8059,145.8,4.7339,93.1,,,127.5
21/01/1990,,19.92,,,,,,,0.8209,145.99,4.7339,94.38,,,127.5
28/01/1990,,19.86,,,,,,,0.8108,142.84,4.7339,92.86,,,127.5
04/02/1990,,20.19,,,,,,,0.8096,145.6,4.7339,92.71,,,128
11/02/1990,,19.60,,,,,,,0.8047,144.75,4.7339,92.19,,,128
18/02/1990,,19.68,,,,,,,0.8076,144,4.7339,92.32,,,128
25/02/1990,,19.19,,,,,,,0.8035,147.1,4.7339,92.33,,,128
04/03/1990,,19.28,,,,,,,0.8192,150.35,4.7339,94.24,,,128.6
11/03/1990,,18.88,,,,,,,0.8139,151.28,4.7339,93.93,,,128.6
18/03/1990,,18.56,,,,,,,0.8107,152.62,4.7339,93.79,,,128.6
25/03/1990,,18.40,,,,,,,0.816,154.3,4.7339,95.21,,,128.6
01/04/1990,,18.38,,,,,,,0.8089,158.53,4.7339,94.2,,,128.9
08/04/1990,,17.80,,,,,,,0.8082,157.67,4.7339,94.12,,,128.9
15/04/1990,,16.82,1.598,,,,,,0.7979,158.69,4.7339,93.19,,,128.9
22/04/1990,,17.21,1.543,,,,,,0.8025,157.5,4.7339,93.68,,,128.9
29/04/1990,,17.08,1.555,,,,,,0.8,159.25,4.7339,93.22,,,128.9
06/05/1990,,16.33,1.575,,,,,,0.7954,158.2,4.7339,92.49,,,129.1
13/05/1990,,17.60,1.565,,,,,,0.7788,152.75,4.7339,91.37,,,129.1
20/05/1990,,17.69,1.554,,,,,,0.7868,153.05,4.7339,91.45,,,129.1
27/05/1990,,16.52,1.592,,,,,,0.7997,149.34,4.7339,92.48,,,129.1
03/06/1990,,16.37,1.585,,,,,,0.8044,151.97,4.7339,93.12,,,129.9
10/06/1990,,15.65,1.575,,,,,,0.808,153.47,4.7339,93.15,,,129.9
17/06/1990,,16.11,1.547,,,,,,0.8083,153.95,4.7339,92.53,,,129.9
24/06/1990,,16.17,1.522,,,,,,0.7974,154.85,4.7339,92.59,,,129.9
01/07/1990,,16.14,1.519,,,,,,0.7921,152.22,4.7339,91.64,,,130.5
08/07/1990,,15.86,1.498,,,,,,0.7849,151.65,4.7339,90.93,,,130.5
15/07/1990,,17.43,1.500,,,,,,0.7817,148.18,4.7339,90.48,,,130.5
22/07/1990,,18.75,1.426,,,,,,0.7798,148.6,4.7339,90.12,,,130.5
29/07/1990,,19.22,1.439,,,,,,0.7673,149,4.7339,88.71,,,130.5
05/08/1990,,23.48,1.510,,,,,,0.756,149.35,4.7339,88.11,,,131.6
12/08/1990,,25.47,1.490,,,,,,0.7574,150.45,4.7339,87.79,,,131.6
19/08/1990,,27.12,1.440,,,,,,0.7384,147.65,4.7339,85.79,,,131.6
26/08/1990,,30.10,1.525,,,,,,0.7393,146.6,4.7339,85.99,,,131.6
02/09/1990,,26.75,1.500,,,,,,0.7512,143.75,4.7339,86.85,,,132.5
09/09/1990,,30.25,1.510,,,,,,0.7469,140.05,4.7339,86.14,,,132.5
16/09/1990,,30.72,1.520,,,,,,0.7453,136.75,4.7339,85.72,,,132.5
23/09/1990,,34.76,1.872,,,,,,0.7506,136.55,4.7339,86.98,,,132.5
30/09/1990,,39.10,1.935,,,,,,0.7474,138.53,4.7339,86.52,,,132.5
07/10/1990,,37.35,1.935,,,,,,0.7336,132.25,4.7339,84.73,,,133.4
14/10/1990,,39.49,1.950,,,,,,0.7263,129.1,4.7339,83.56,,,133.4
21/10/1990,,31.01,1.900,,,,,,0.7187,126,4.7339,82.71,,,133.4
28/10/1990,,32.05,2.448,,,,,,0.7241,128.2,4.7339,83.37,,,133.4
04/11/1990,,33.55,2.358,,,,,,0.7175,127.69,4.7339,82.53,,,133.7
11/11/1990,,33.50,2.429,,,,,,0.7122,129.75,4.7339,82.42,,,133.7
18/11/1990,,29.00,2.335,,,,,,0.7048,129.45,4.7339,81.84,,,133.7
25/11/1990,,31.00,2.605,,,,,,0.7115,127.12,5.2352,82.07,,,133.7
