iter	RMSE
0	57395.95243
1	54327.98861
2	52552.86535
3	51480.31701
4	50944.78389
5	49908.94164
6	49385.34568
7	49078.72351
8	48667.98751
9	48048.91653
10	47625.91863
11	47128.22166
12	46967.41863
13	46565.53773
14	46417.18585
15	45783.50472
16	45164.55644
17	45063.38425
18	44837.77805
19	44663.53341
20	44422.20371
21	43977.94355
22	43768.90328
23	43326.85501
24	43168.94152
25	42995.91658
26	42896.33865
27	42651.88719
28	42380.07347
29	41881.21793
