iter	RMSE
0	57395.95243
1	54327.98861
2	52552.86535
3	51286.43097
4	50485.49631
5	49542.36191
6	49030.52796
7	48717.77229
8	48317.99064
9	47766.45322
10	47121.66422
11	46838.67159
12	46665.22237
13	46238.37028
14	46068.84893
15	45882.04409
16	45491.88096
17	44880.04361
18	44737.44583
19	44449.42949
20	44319.49063
21	44092.57109
22	43847.49916
23	43537.82747
24	43152.22313
25	42726.32684
26	42541.17961
27	42162.89533
28	41947.23285
29	41836.1032
