Unnamed: 0,target
2015-08-21,682500.0
2015-08-22,580500.0
2015-08-23,413200.0
2015-08-24,290400.0
2015-08-25,260400.0
2015-08-26,284500.0
2015-08-27,256100.0
2015-08-28,203900.0
2015-08-29,42000.0
2015-08-30,36500.0
2015-08-31,82100.0
2015-09-01,79400.0
2015-09-02,128000.0
2015-09-03,34000.0
2015-09-04,66000.0
2015-09-05,60000.0
2015-09-06,38000.0
2015-09-07,153000.0
2015-09-08,90400.0
2015-09-09,189100.0
2015-09-10,91000.0
2015-09-11,171500.0
2015-09-12,45000.0
2015-09-13,15000.0
2015-09-14,309000.0
2015-09-15,56000.0
2015-09-16,212300.0
2015-09-17,97300.0
2015-09-18,72900.0
2015-09-19,156800.0
2015-09-20,54800.0
2015-09-21,1371900.0
2015-09-22,952800.0
2015-09-23,350600.0
2015-09-24,382300.0
2015-09-25,149000.0
2015-09-26,140400.0
2015-09-27,183500.0
2015-09-28,173700.0
2015-09-29,192600.0
2015-09-30,357700.0
2015-10-01,207200.0
2015-10-02,354000.0
2015-10-03,211800.0
2015-10-04,103000.0
2015-10-05,145400.0
2015-10-06,96400.0
2015-10-07,297200.0
2015-10-08,103600.0
2015-10-09,186800.0
2015-10-10,33500.0
2015-10-11,55200.0
2015-10-12,85100.0
2015-10-13,67300.0
2015-10-14,125100.0
2015-10-15,109700.0
2015-10-16,54000.0
2015-10-17,89300.0
2015-10-18,37800.0
2015-10-19,120700.0
2015-10-20,696000.0
2015-10-21,2139200.0
2015-10-22,769000.0
2015-10-23,532100.0
2015-10-24,207200.0
2015-10-25,143300.0
2015-10-26,213100.0
2015-10-27,277500.0
2015-10-28,217800.0
2015-10-29,149300.0
2015-10-30,159500.0
2015-10-31,45800.0
2015-11-01,69800.0
2015-11-02,100800.0
2015-11-03,135100.0
2015-11-04,82000.0
2015-11-05,109600.0
2015-11-06,55200.0
2015-11-07,115700.0
2015-11-08,57000.0
2015-11-09,135900.0
2015-11-10,80700.0
2015-11-11,74400.0
2015-11-12,364700.0
2015-11-13,106900.0
2015-11-14,50300.0
2015-11-15,123200.0
2015-11-16,91200.0
2015-11-17,119700.0
2015-11-18,125100.0
2015-11-19,42100.0
2015-11-20,976900.0
2015-11-21,26800.0
2015-11-22,0.0
2015-11-23,451200.0
2015-11-24,461600.0
2015-11-25,335600.0
2015-11-26,214900.0
2015-11-27,263900.0
2015-11-28,103200.0
2015-11-29,91800.0
2015-11-30,149900.0
2015-12-01,223800.0
2015-12-02,327300.0
2015-12-03,126100.0
2015-12-04,128500.0
2015-12-05,81700.0
2015-12-06,30500.0
2015-12-07,149100.0
2015-12-08,96300.0
2015-12-09,215300.0
2015-12-10,142300.0
2015-12-11,141700.0
2015-12-12,58300.0
2015-12-13,52100.0
2015-12-14,38200.0
2015-12-15,255300.0
