iter	Passed	Remaining
0	59	2900
1	59	1426
2	59	934
3	59	688
4	60	540
5	60	441
6	60	371
7	60	318
8	60	277
9	61	244
10	61	217
11	61	194
12	61	175
13	61	159
14	62	144
15	62	132
16	62	121
17	62	111
18	62	102
19	63	94
20	63	87
21	63	81
22	63	75
23	64	69
24	65	65
25	65	60
26	65	55
27	65	51
28	65	47
29	66	44
30	66	40
31	66	37
32	66	34
33	66	31
34	67	28
35	67	26
36	67	23
37	67	21
38	68	19
39	68	17
40	68	15
41	69	13
42	69	11
43	69	9
44	70	7
45	70	6
46	70	4
47	71	2
48	71	1
49	71	0
