iter	Passed	Remaining
0	150	4377
1	161	2257
2	171	1547
3	182	1186
4	189	947
5	199	799
6	209	688
7	219	603
8	229	534
9	234	468
10	244	422
11	255	383
12	266	348
13	289	331
14	301	301
15	311	272
16	320	245
17	329	219
18	335	194
19	342	171
20	348	149
21	353	128
22	359	109
23	364	91
24	371	74
25	378	58
26	384	42
27	392	28
28	401	13
29	410	0
