invest
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
100
101.9
92.3
106.7
129.2
134.2
125.8
129.6
123.5
121.6
166.4
229.1
63.7
88.2
86.1
88.8
104.4
115.4
111.5
115.5
117.1
120.4
151.1
255.5
83.5
86.5
91.7
86.9
88.4
102
103.3
109.2
117.7
109.2
118.1
181.5
68.2
72.7
82.4
80.4
81.6
99.1
101.2
107.5
119
109.6
117.6
188.2
65.3
69.6
76.3
74.5
77.6
93
96.1
102.3
97.7
90.4
96.7
142.5
60.6
65.7
73
71
77.5
96.3
98.8
105
109.3
103.9
108.4
174.8
65.4
76.2
84.5
82.7
94.6
115.5
115.5
128.4
130.6
122.8
128.4
198.2
70.7
80.4
88.2
88.7
105.6
123.1
124.7
139.4
143.1
136.4
139.8
220.9
70.7
80.3
91.1
91.8
109
127.2
129.6
141.2
146.9
140.6
143.8
227.8
76.3
89.3
101.1
103.4
125.3
142.3
144.5
157.9
165.3
158.4
162.2
262.4
91.9
109.4
122.3
122.8
148.3
172.7
163.9
184.8
186.3
175.5
190.4
297.6
95.2
117.4
131.9
133.9
155.8
192.3
186.5
202
208.4
195.5
223.5
340.3
102.1
124.1
150.9
151.9
190.9
227.8
209.8
237.1
249.9
243.4
264.1
410.1
130
149.9
172.7
181
230.7
279
258
272.5
282.6
308
328.3
541.4
157
188.9
212.1
225.9
274.5
310.7
285.2
300.6
325.6
328.8
326.9
505.3
129.4
157
174.8
178.7
206.4
241.4
229.6
245.3
271.2
283.5
288
480.6
118.1
145.3
176
185
221.5
271.5
232.7
265.7
291.8
305.8
318.9
546.6
118.1
153.3
181.5
195.3
241.7
292.5
257.7
298.1
324.4
356.2
360.1
630.9
137.5
178
200.9
212
275.6
319.9
284.1
316.5
328.5
389.9
370.8
630.4
141.8
178.9
197.3
211.3
276.4
311.2
291.6
311.4
324.8
389.8
372.6
634.9
132.1
172.6
188.7
206.2
270.1
313.9
286.9
303.8
316.6
379.3
